范围,项目,命名空间,类型,成员,可维护性指数,圈复杂度,继承深度,类耦合度,源代码行,可执行代码行
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFExidxInfo,IsValidSingleByteInstruction(byte) : bool,59,7,,0,37,13
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFExidxInfo,CalcVsp(byte) : int,82,1,,0,5,2
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFExidxInfo,"ProcessSingleByteInstruction(byte, StringBuilder) : void",41,20,,7,94,39
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFExidxInfo,"ProcessDoubleByteInstruction(ushort, StringBuilder) : void",36,23,,7,109,54
类型,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFHeaderInfo, ,58,9,1,7,53,20
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFHeaderInfo,"ReadELFHeader(BinaryReader, bool, bool) : ELFHeader",49,8,,7,40,19
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFHeaderInfo,IsLittleEndian(this ELFHeader) : bool,92,1,,2,9,1
类型,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFNoteInfo, ,61,24,1,19,179,53
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFNoteInfo,GetFormattedNotesInfo(ELFParser) : string,59,7,,5,30,11
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFNoteInfo,"GetNoteDescription(ELFParser, ulong, ulong) : string",44,9,,12,76,31
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFNoteInfo,"ParseNoteSection(ELFParser, ELFSectionHeader) : string",90,1,,2,4,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFNoteInfo,"GetABIVersion(ELFParser, byte[], int, int) : string",66,3,,5,11,6
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFNoteInfo,"GetBuildID(byte[], int, int) : string",89,2,,1,4,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFNoteInfo,"ProcessNoteEntry(ELFParser, uint, string, byte[], int, int) : string",77,1,,2,23,2
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFNoteInfo,"GetNoteDescription(uint, string) : string",86,1,,0,22,1
类型,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFParser, ,83,23,1,18,56,25
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFParser,_is64Bit : bool,100,0,,0,1,0
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFParser,Header : ELFHeader,100,2,,1,1,2
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFParser,Header.get() : ELFHeader,100,1,,1,1,1
成员,PersonalTools (Release),PersonalTools.ELFAnalyzer.Core,ELFParser,ProgramHeaders : List<ELFProgramHeader>,100,2,,2,1,1
